Serial,Year,Startup,Industry Vertical,Location,Investors,InvestmentType,Amount
2532,2017,Cashe,Consumer Internet,Mumbai,IFMR Capital,Debt Funding,"31,00,000"
2533,2017,Park Easy,Consumer Internet,Kolkata,Rockstart Accelerator,Seed Funding,"1,18,000"
2534,2017,TagBox,Technology,Bangalore,"Indian Angel network, IAN Fund",Seed Funding,NA
2535,2017,FYRE,Food & Beverage,Mumbai,Venture Catalysts,Seed Funding,"5,00,000"
2536,2017,ZipLoan,Consumer Internet,New Delhi,"Matrix Partners India, WaterBridge Ventures, Whiteboard Capital, Sarbvir Singh",Private Equity,"30,00,000"
2537,2017,Skillenza,Consumer Internet,Bangalore,"Blume Ventures, Indian Angel Network",Seed Funding,"7,22,000"
2538,2017,Chevon,Food & Beverage,Mumbai,Greenfield Advisory,Private Equity,NA
2539,2017,PropStory,Consumer Internet,Gurgaon,"Abhishek Bhatewara, Vivek Shah, Haitong Securities, Suraj Saharan, Paras Arora",Seed Funding,NA
2540,2017,SpotDraft,Consumer Internet,Gurgaon,"Hunch Ventures, Spiral Ventures, 500 Startups, Singapore Angel Network, Citrus Payments",Seed Funding,"5,50,000"
2541,2017,Big Basket,eCommerce,Bangalore,Helion Ventures Partners,Private Equity,"50,00,000"
2542,2017,OfBusiness,Technology,Gurgaon,Kotak Mahindra Bank,Debt Funding,"38,00,000"
2543,2017,Olly Credit,Technology,New Delhi,"Incubate Fund, Sandesh Kirkire, Anand Kumar, Yogesh Chaudhary",Seed Funding,NA
2544,2017,CashFree,Technology,New Delhi,Y Combinator,Seed Funding,"1,20,000"
2545,2017,Ola Cabs,Consumer Internet,Bangalore,ANI Technologies Pvt. Ltd,Private Equity,"77,00,000"
2546,2017,GoldFarm,Food & Beverage,Coimbatore,Mahindra & Mahindra and Infuse Ventures,Private Equity,"20,00,000"
2547,2017,NetMeds,ECommerce,Chennai,TannCam Investment & Sistema Asia Fund,Private Equity,"1,40,00,000"
2548,2017,MSE,Finance,Mumbai,"IL&FS, Trust Capital, Rosy Blue Securities, Radhakrishan Damani and Rakesh Jhunjhunwala",Private Equity,"3,20,00,000"
2549,2017,Prest Loans,Finance,New Delhi,"Manish Poddar, Arun Garg, Parmeshwar Sharma",Seed Funding,"5,70,000"
2550,2017,AadharAPI.com,Technology,Pune,CIO Angel Network,Seed Funding,NA
2551,2017,FreshBoxx,ECommerce,Bangalore,Jayant Humbarwadi,Seed Funding,NA
2552,2017,Vagupu,Technology,Bangalore,Undisclosed Investors,Seed Funding,"10,00,000"
2553,2017,HalaPlay,Consumer Internet,Mumbai,"Kae Capital Management, Nazara Technologies",Seed Funding,NA
2554,2017,Kalpnik Technologies,Technology,Bangalore,Venture Catalysts,Seed Funding,"5,00,000"
2555,2017,Hevo Data,Technology,Bangalore,IDG Ventures India,Private Equity,"10,00,000"
2556,2017,Smart Karma,Technology,Bangalore,IDG Ventures India,Private Equity,NA
2557,2017,Leverage Edu,ECommerce,New Delhi,"Alok Mittal, Deepak Jain, Ritesh Malik, Jim Schimdktke",Seed Funding,NA
2558,2017,Crayon Data,Technology,New Delhi,Infosys co-founder Kris Gopalakrishnan,Seed Funding,NA
2559,2017,DocTalk,Technology,Mumbai,"Matrix Partners India, Khosla Ventures",Private Equity,"50,00,000"
